id,candidate_id,candidate_number,full_name_ar,full_name_en,governorate,electoral_district,party_affiliation,coalition,gender,incumbent,photo_url,biography,email,phone,election_year,data_source,created_at,updated_at,is_active
,2025_28_ذي قار,28,المرشح العراقي 28,Iraqi Candidate 28,ذي قار,,تحالف عزم,,أنثى,,,,,,2025,,,,
,2025_29_ميسان,29,المرشح العراقي 29,Iraqi Candidate 29,ميسان,,الحزب الديمقراطي الكردستاني,,أنثى,,,,,,2025,,,,
,2025_30_دهوك,30,المرشح العراقي 30,Iraqi Candidate 30,دهوك,,الفتح,,أنثى,,,,,,2025,,,,
,2025_31_صلاح الدين,31,المرشح العراقي 31,Iraqi Candidate 31,صلاح الدين,,حركة امتداد,,ذكر,,,,,,2025,,,,
,2025_32_نجف,32,المرشح العراقي 32,Iraqi Candidate 32,نجف,,الحزب الديمقراطي الكردستاني,,أنثى,,,,,,2025,,,,
,2025_33_السليمانية,33,المرشح العراقي 33,Iraqi Candidate 33,السليمانية,,الحكمة,,ذكر,,,,,,2025,,,,
,2025_34_نينوى,34,المرشح العراقي 34,Iraqi Candidate 34,نينوى,,تحالف السيادة,,أنثى,,,,,,2025,,,,
,2025_35_صلاح الدين,35,المرشح العراقي 35,Iraqi Candidate 35,صلاح الدين,,الوطنية,,أنثى,,,,,,2025,,,,
,2025_36_الأنبار,36,المرشح العراقي 36,Iraqi Candidate 36,الأنبار,,الاتحاد الوطني الكردستاني,,أنثى,,,,,,2025,,,,
,2025_37_كربلاء,37,المرشح العراقي 37,Iraqi Candidate 37,كربلاء,,سائرون,,أنثى,,,,,,2025,,,,
,2025_38_الحلة,38,المرشح العراقي 38,Iraqi Candidate 38,الحلة,,الحزب الشيوعي العراقي,,ذكر,,,,,,2025,,,,
,2025_39_القادسية,39,المرشح العراقي 39,Iraqi Candidate 39,القادسية,,العزم,,ذكر,,,,,,2025,,,,
,2025_40_كركوك,40,المرشح العراقي 40,Iraqi Candidate 40,كركوك,,العزم,,أنثى,,,,,,2025,,,,
,2025_41_الأنبار,41,المرشح العراقي 41,Iraqi Candidate 41,الأنبار,,تحالف عزم,,أنثى,,,,,,2025,,,,
,2025_42_كركوك,42,المرشح العراقي 42,Iraqi Candidate 42,كركوك,,الحكمة,,ذكر,,,,,,2025,,,,
,2025_43_ميسان,43,المرشح العراقي 43,Iraqi Candidate 43,ميسان,,الحكمة,,ذكر,,,,,,2025,,,,
,2025_44_الحلة,44,المرشح العراقي 44,Iraqi Candidate 44,الحلة,,الحكمة,,أنثى,,,,,,2025,,,,
,2025_45_المثنى,45,المرشح العراقي 45,Iraqi Candidate 45,المثنى,,الحزب الشيوعي العراقي,,ذكر,,,,,,2025,,,,
,2025_46_كربلاء,46,المرشح العراقي 46,Iraqi Candidate 46,كربلاء,,الحزب الشيوعي العراقي,,أنثى,,,,,,2025,,,,
,2025_47_المثنى,47,المرشح العراقي 47,Iraqi Candidate 47,المثنى,,سائرون,,ذكر,,,,,,2025,,,,
,2025_48_كربلاء,48,المرشح العراقي 48,Iraqi Candidate 48,كربلاء,,الحزب الشيوعي العراقي,,ذكر,,,,,,2025,,,,
,2025_49_بابل,49,المرشح العراقي 49,Iraqi Candidate 49,بابل,,سائرون,,أنثى,,,,,,2025,,,,
,2025_50_كركوك,50,المرشح العراقي 50,Iraqi Candidate 50,كركوك,,الفتح,,أنثى,,,,,,2025,,,,
,2025_51_ميسان,51,المرشح العراقي 51,Iraqi Candidate 51,ميسان,,الوطنية,,ذكر,,,,,,2025,,,,
,2025_52_البصرة,52,المرشح العراقي 52,Iraqi Candidate 52,البصرة,,الحكمة,,ذكر,,,,,,2025,,,,
,2025_53_القادسية,53,المرشح العراقي 53,Iraqi Candidate 53,القادسية,,دولة القانون,,أنثى,,,,,,2025,,,,
,2025_54_واسط,54,المرشح العراقي 54,Iraqi Candidate 54,واسط,,العزم,,أنثى,,,,,,2025,,,,
,2025_55_ديالى,55,المرشح العراقي 55,Iraqi Candidate 55,ديالى,,حركة امتداد,,أنثى,,,,,,2025,,,,
,2025_56_الأنبار,56,المرشح العراقي 56,Iraqi Candidate 56,الأنبار,,الحزب الشيوعي العراقي,,أنثى,,,,,,2025,,,,
,2025_57_صلاح الدين,57,المرشح العراقي 57,Iraqi Candidate 57,صلاح الدين,,تحالف عزم,,أنثى,,,,,,2025,,,,
,2025_58_كركوك,58,المرشح العراقي 58,Iraqi Candidate 58,كركوك,,تقدم,,أنثى,,,,,,2025,,,,
,2025_59_البصرة,59,المرشح العراقي 59,Iraqi Candidate 59,البصرة,,الاتحاد الوطني الكردستاني,,ذكر,,,,,,2025,,,,
,2025_60_واسط,60,المرشح العراقي 60,Iraqi Candidate 60,واسط,,العزم,,ذكر,,,,,,2025,,,,
,2025_61_ذي قار,61,المرشح العراقي 61,Iraqi Candidate 61,ذي قار,,النصر,,أنثى,,,,,,2025,,,,
,2025_62_واسط,62,المرشح العراقي 62,Iraqi Candidate 62,واسط,,النصر,,ذكر,,,,,,2025,,,,
,2025_63_كربلاء,63,المرشح العراقي 63,Iraqi Candidate 63,كربلاء,,الفتح,,أنثى,,,,,,2025,,,,
,2025_64_بغداد,64,المرشح العراقي 64,Iraqi Candidate 64,بغداد,,الحكمة,,أنثى,,,,,,2025,,,,
,2025_65_المثنى,65,المرشح العراقي 65,Iraqi Candidate 65,المثنى,,الفتح,,أنثى,,,,,,2025,,,,
,2025_66_بابل,66,المرشح العراقي 66,Iraqi Candidate 66,بابل,,العزم,,أنثى,,,,,,2025,,,,
,2025_67_نجف,67,المرشح العراقي 67,Iraqi Candidate 67,نجف,,الحزب الشيوعي العراقي,,ذكر,,,,,,2025,,,,
,2025_68_واسط,68,المرشح العراقي 68,Iraqi Candidate 68,واسط,,الحزب الشيوعي العراقي,,ذكر,,,,,,2025,,,,
,2025_69_أربيل,69,المرشح العراقي 69,Iraqi Candidate 69,أربيل,,دولة القانون,,أنثى,,,,,,2025,,,,
,2025_70_الحلة,70,المرشح العراقي 70,Iraqi Candidate 70,الحلة,,تقدم,,ذكر,,,,,,2025,,,,
,2025_71_الأنبار,71,المرشح العراقي 71,Iraqi Candidate 71,الأنبار,,الفتح,,ذكر,,,,,,2025,,,,
,2025_72_بغداد,72,المرشح العراقي 72,Iraqi Candidate 72,بغداد,,تحالف عزم,,ذكر,,,,,,2025,,,,
,2025_73_كركوك,73,المرشح العراقي 73,Iraqi Candidate 73,كركوك,,الحزب الديمقراطي الكردستاني,,أنثى,,,,,,2025,,,,
,2025_74_أربيل,74,المرشح العراقي 74,Iraqi Candidate 74,أربيل,,الوطنية,,أنثى,,,,,,2025,,,,
,2025_75_أربيل,75,المرشح العراقي 75,Iraqi Candidate 75,أربيل,,العزم,,ذكر,,,,,,2025,,,,
,2025_76_بغداد,76,المرشح العراقي 76,Iraqi Candidate 76,بغداد,,حركة امتداد,,أنثى,,,,,,2025,,,,
,2025_77_البصرة,77,المرشح العراقي 77,Iraqi Candidate 77,البصرة,,الوطنية,,أنثى,,,,,,2025,,,,
,2025_78_بابل,78,المرشح العراقي 78,Iraqi Candidate 78,بابل,,النصر,,ذكر,,,,,,2025,,,,
,2025_79_البصرة,79,المرشح العراقي 79,Iraqi Candidate 79,البصرة,,العزم,,أنثى,,,,,,2025,,,,
,2025_80_الحلة,80,المرشح العراقي 80,Iraqi Candidate 80,الحلة,,الحكمة,,أنثى,,,,,,2025,,,,
,2025_81_السليمانية,81,المرشح العراقي 81,Iraqi Candidate 81,السليمانية,,تقدم,,ذكر,,,,,,2025,,,,
,2025_82_بابل,82,المرشح العراقي 82,Iraqi Candidate 82,بابل,,الحزب الديمقراطي الكردستاني,,ذكر,,,,,,2025,,,,
,2025_83_بابل,83,المرشح العراقي 83,Iraqi Candidate 83,بابل,,تقدم,,ذكر,,,,,,2025,,,,
,2025_84_كربلاء,84,المرشح العراقي 84,Iraqi Candidate 84,كربلاء,,تحالف السيادة,,ذكر,,,,,,2025,,,,
,2025_85_بغداد,85,المرشح العراقي 85,Iraqi Candidate 85,بغداد,,الحزب الديمقراطي الكردستاني,,ذكر,,,,,,2025,,,,
,2025_86_بابل,86,المرشح العراقي 86,Iraqi Candidate 86,بابل,,الوطنية,,ذكر,,,,,,2025,,,,
,2025_87_بغداد,87,المرشح العراقي 87,Iraqi Candidate 87,بغداد,,الوطنية,,أنثى,,,,,,2025,,,,
,2025_88_كركوك,88,المرشح العراقي 88,Iraqi Candidate 88,كركوك,,الحزب الشيوعي العراقي,,أنثى,,,,,,2025,,,,
,2025_89_ميسان,89,المرشح العراقي 89,Iraqi Candidate 89,ميسان,,العزم,,أنثى,,,,,,2025,,,,
,2025_90_دهوك,90,المرشح العراقي 90,Iraqi Candidate 90,دهوك,,النصر,,ذكر,,,,,,2025,,,,
,2025_91_ذي قار,91,المرشح العراقي 91,Iraqi Candidate 91,ذي قار,,تقدم,,ذكر,,,,,,2025,,,,
,2025_92_الحلة,92,المرشح العراقي 92,Iraqi Candidate 92,الحلة,,تقدم,,أنثى,,,,,,2025,,,,
,2025_93_ذي قار,93,المرشح العراقي 93,Iraqi Candidate 93,ذي قار,,تحالف عزم,,ذكر,,,,,,2025,,,,
,2025_94_ذي قار,94,المرشح العراقي 94,Iraqi Candidate 94,ذي قار,,الحزب الشيوعي العراقي,,ذكر,,,,,,2025,,,,
,2025_95_ميسان,95,المرشح العراقي 95,Iraqi Candidate 95,ميسان,,تحالف عزم,,ذكر,,,,,,2025,,,,
,2025_96_الحلة,96,المرشح العراقي 96,Iraqi Candidate 96,الحلة,,تحالف السيادة,,ذكر,,,,,,2025,,,,
,2025_97_صلاح الدين,97,المرشح العراقي 97,Iraqi Candidate 97,صلاح الدين,,الاتحاد الوطني الكردستاني,,ذكر,,,,,,2025,,,,
,2025_98_القادسية,98,المرشح العراقي 98,Iraqi Candidate 98,القادسية,,تحالف عزم,,ذكر,,,,,,2025,,,,
,2025_99_دهوك,99,المرشح العراقي 99,Iraqi Candidate 99,دهوك,,سائرون,,أنثى,,,,,,2025,,,,
,2025_100_القادسية,100,المرشح العراقي 100,Iraqi Candidate 100,القادسية,,النصر,,ذكر,,,,,,2025,,,,
,2025_101_أربيل,101,المرشح العراقي 101,Iraqi Candidate 101,أربيل,,الحكمة,,أنثى,,,,,,2025,,,,
,2025_102_البصرة,102,المرشح العراقي 102,Iraqi Candidate 102,البصرة,,تقدم,,أنثى,,,,,,2025,,,,
,2025_103_السليمانية,103,المرشح العراقي 103,Iraqi Candidate 103,السليمانية,,الحزب الشيوعي العراقي,,أنثى,,,,,,2025,,,,
,2025_104_ذي قار,104,المرشح العراقي 104,Iraqi Candidate 104,ذي قار,,الاتحاد الوطني الكردستاني,,ذكر,,,,,,2025,,,,
,2025_105_البصرة,105,المرشح العراقي 105,Iraqi Candidate 105,البصرة,,حركة امتداد,,أنثى,,,,,,2025,,,,
,2025_106_القادسية,106,المرشح العراقي 106,Iraqi Candidate 106,القادسية,,سائرون,,ذكر,,,,,,2025,,,,
,2025_107_البصرة,107,المرشح العراقي 107,Iraqi Candidate 107,البصرة,,الحزب الديمقراطي الكردستاني,,أنثى,,,,,,2025,,,,
,2025_108_ديالى,108,المرشح العراقي 108,Iraqi Candidate 108,ديالى,,الفتح,,ذكر,,,,,,2025,,,,
,2025_109_أربيل,109,المرشح العراقي 109,Iraqi Candidate 109,أربيل,,النصر,,أنثى,,,,,,2025,,,,
,2025_110_ديالى,110,المرشح العراقي 110,Iraqi Candidate 110,ديالى,,النصر,,ذكر,,,,,,2025,,,,
,2025_111_الأنبار,111,المرشح العراقي 111,Iraqi Candidate 111,الأنبار,,سائرون,,أنثى,,,,,,2025,,,,
,2025_112_كربلاء,112,المرشح العراقي 112,Iraqi Candidate 112,كربلاء,,تحالف السيادة,,أنثى,,,,,,2025,,,,
,2025_113_نجف,113,المرشح العراقي 113,Iraqi Candidate 113,نجف,,تحالف عزم,,ذكر,,,,,,2025,,,,
,2025_114_الأنبار,114,المرشح العراقي 114,Iraqi Candidate 114,الأنبار,,العزم,,ذكر,,,,,,2025,,,,
,2025_115_كركوك,115,المرشح العراقي 115,Iraqi Candidate 115,كركوك,,تقدم,,أنثى,,,,,,2025,,,,
,2025_116_واسط,116,المرشح العراقي 116,Iraqi Candidate 116,واسط,,حركة امتداد,,أنثى,,,,,,2025,,,,
,2025_117_نجف,117,المرشح العراقي 117,Iraqi Candidate 117,نجف,,الحكمة,,أنثى,,,,,,2025,,,,
,2025_118_ميسان,118,المرشح العراقي 118,Iraqi Candidate 118,ميسان,,تحالف السيادة,,ذكر,,,,,,2025,,,,
,2025_119_ميسان,119,المرشح العراقي 119,Iraqi Candidate 119,ميسان,,الحزب الديمقراطي الكردستاني,,أنثى,,,,,,2025,,,,
,2025_120_الأنبار,120,المرشح العراقي 120,Iraqi Candidate 120,الأنبار,,حركة امتداد,,ذكر,,,,,,2025,,,,
,2025_121_صلاح الدين,121,المرشح العراقي 121,Iraqi Candidate 121,صلاح الدين,,الحكمة,,ذكر,,,,,,2025,,,,
,2025_122_أربيل,122,المرشح العراقي 122,Iraqi Candidate 122,أربيل,,تقدم,,ذكر,,,,,,2025,,,,
,2025_123_كركوك,123,المرشح العراقي 123,Iraqi Candidate 123,كركوك,,الحزب الشيوعي العراقي,,أنثى,,,,,,2025,,,,
,2025_124_أربيل,124,المرشح العراقي 124,Iraqi Candidate 124,أربيل,,الحزب الديمقراطي الكردستاني,,أنثى,,,,,,2025,,,,
,2025_125_أربيل,125,المرشح العراقي 125,Iraqi Candidate 125,أربيل,,دولة القانون,,أنثى,,,,,,2025,,,,
,2025_126_أربيل,126,المرشح العراقي 126,Iraqi Candidate 126,أربيل,,الاتحاد الوطني الكردستاني,,أنثى,,,,,,2025,,,,
,2025_127_البصرة,127,المرشح العراقي 127,Iraqi Candidate 127,البصرة,,العزم,,ذكر,,,,,,2025,,,,
,2025_128_واسط,128,المرشح العراقي 128,Iraqi Candidate 128,واسط,,الحكمة,,أنثى,,,,,,2025,,,,
,2025_129_نجف,129,المرشح العراقي 129,Iraqi Candidate 129,نجف,,حركة امتداد,,أنثى,,,,,,2025,,,,
,2025_130_ميسان,130,المرشح العراقي 130,Iraqi Candidate 130,ميسان,,الاتحاد الوطني الكردستاني,,ذكر,,,,,,2025,,,,
,2025_131_ذي قار,131,المرشح العراقي 131,Iraqi Candidate 131,ذي قار,,الوطنية,,أنثى,,,,,,2025,,,,
,2025_132_نجف,132,المرشح العراقي 132,Iraqi Candidate 132,نجف,,الحزب الديمقراطي الكردستاني,,أنثى,,,,,,2025,,,,
,2025_133_دهوك,133,المرشح العراقي 133,Iraqi Candidate 133,دهوك,,حركة امتداد,,أنثى,,,,,,2025,,,,
,2025_134_أربيل,134,المرشح العراقي 134,Iraqi Candidate 134,أربيل,,النصر,,ذكر,,,,,,2025,,,,
,2025_135_ميسان,135,المرشح العراقي 135,Iraqi Candidate 135,ميسان,,حركة امتداد,,ذكر,,,,,,2025,,,,
,2025_136_ميسان,136,المرشح العراقي 136,Iraqi Candidate 136,ميسان,,الوطنية,,ذكر,,,,,,2025,,,,
,2025_137_بابل,137,المرشح العراقي 137,Iraqi Candidate 137,بابل,,تقدم,,ذكر,,,,,,2025,,,,
,2025_138_واسط,138,المرشح العراقي 138,Iraqi Candidate 138,واسط,,تحالف عزم,,ذكر,,,,,,2025,,,,
,2025_139_بغداد,139,المرشح العراقي 139,Iraqi Candidate 139,بغداد,,العزم,,ذكر,,,,,,2025,,,,
,2025_140_كركوك,140,المرشح العراقي 140,Iraqi Candidate 140,كركوك,,العزم,,أنثى,,,,,,2025,,,,
,2025_141_بابل,141,المرشح العراقي 141,Iraqi Candidate 141,بابل,,سائرون,,أنثى,,,,,,2025,,,,
,2025_142_الحلة,142,المرشح العراقي 142,Iraqi Candidate 142,الحلة,,تقدم,,أنثى,,,,,,2025,,,,
,2025_143_المثنى,143,المرشح العراقي 143,Iraqi Candidate 143,المثنى,,الحزب الديمقراطي الكردستاني,,أنثى,,,,,,2025,,,,
,2025_144_القادسية,144,المرشح العراقي 144,Iraqi Candidate 144,القادسية,,سائرون,,أنثى,,,,,,2025,,,,
,2025_145_المثنى,145,المرشح العراقي 145,Iraqi Candidate 145,المثنى,,الحزب الشيوعي العراقي,,أنثى,,,,,,2025,,,,
,2025_146_نجف,146,المرشح العراقي 146,Iraqi Candidate 146,نجف,,العزم,,ذكر,,,,,,2025,,,,
,2025_147_ميسان,147,المرشح العراقي 147,Iraqi Candidate 147,ميسان,,دولة القانون,,ذكر,,,,,,2025,,,,
,2025_148_واسط,148,المرشح العراقي 148,Iraqi Candidate 148,واسط,,الحزب الشيوعي العراقي,,ذكر,,,,,,2025,,,,
,2025_149_القادسية,149,المرشح العراقي 149,Iraqi Candidate 149,القادسية,,الحزب الشيوعي العراقي,,ذكر,,,,,,2025,,,,
,2025_150_واسط,150,المرشح العراقي 150,Iraqi Candidate 150,واسط,,سائرون,,ذكر,,,,,,2025,,,,
,2025_151_صلاح الدين,151,المرشح العراقي 151,Iraqi Candidate 151,صلاح الدين,,تقدم,,أنثى,,,,,,2025,,,,
,2025_152_البصرة,152,المرشح العراقي 152,Iraqi Candidate 152,البصرة,,الحكمة,,ذكر,,,,,,2025,,,,
,2025_153_دهوك,153,المرشح العراقي 153,Iraqi Candidate 153,دهوك,,دولة القانون,,ذكر,,,,,,2025,,,,
,2025_154_كربلاء,154,المرشح العراقي 154,Iraqi Candidate 154,كربلاء,,الاتحاد الوطني الكردستاني,,أنثى,,,,,,2025,,,,
,2025_155_نجف,155,المرشح العراقي 155,Iraqi Candidate 155,نجف,,سائرون,,أنثى,,,,,,2025,,,,
,2025_156_السليمانية,156,المرشح العراقي 156,Iraqi Candidate 156,السليمانية,,الوطنية,,ذكر,,,,,,2025,,,,
,2025_157_واسط,157,المرشح العراقي 157,Iraqi Candidate 157,واسط,,تقدم,,أنثى,,,,,,2025,,,,
,2025_158_أربيل,158,المرشح العراقي 158,Iraqi Candidate 158,أربيل,,حركة امتداد,,أنثى,,,,,,2025,,,,
,2025_159_واسط,159,المرشح العراقي 159,Iraqi Candidate 159,واسط,,الحزب الشيوعي العراقي,,أنثى,,,,,,2025,,,,
,2025_160_ديالى,160,المرشح العراقي 160,Iraqi Candidate 160,ديالى,,الوطنية,,أنثى,,,,,,2025,,,,
,2025_161_ميسان,161,المرشح العراقي 161,Iraqi Candidate 161,ميسان,,العزم,,ذكر,,,,,,2025,,,,
,2025_162_السليمانية,162,المرشح العراقي 162,Iraqi Candidate 162,السليمانية,,حركة امتداد,,ذكر,,,,,,2025,,,,
,2025_163_دهوك,163,المرشح العراقي 163,Iraqi Candidate 163,دهوك,,الاتحاد الوطني الكردستاني,,ذكر,,,,,,2025,,,,
,2025_164_صلاح الدين,164,المرشح العراقي 164,Iraqi Candidate 164,صلاح الدين,,دولة القانون,,أنثى,,,,,,2025,,,,
,2025_165_كربلاء,165,المرشح العراقي 165,Iraqi Candidate 165,كربلاء,,تحالف عزم,,ذكر,,,,,,2025,,,,
,2025_166_الحلة,166,المرشح العراقي 166,Iraqi Candidate 166,الحلة,,الفتح,,أنثى,,,,,,2025,,,,
,2025_167_بابل,167,المرشح العراقي 167,Iraqi Candidate 167,بابل,,تقدم,,ذكر,,,,,,2025,,,,
,2025_168_نينوى,168,المرشح العراقي 168,Iraqi Candidate 168,نينوى,,النصر,,ذكر,,,,,,2025,,,,
,2025_169_دهوك,169,المرشح العراقي 169,Iraqi Candidate 169,دهوك,,سائرون,,أنثى,,,,,,2025,,,,
,2025_170_صلاح الدين,170,المرشح العراقي 170,Iraqi Candidate 170,صلاح الدين,,الحزب الشيوعي العراقي,,ذكر,,,,,,2025,,,,
,2025_171_نينوى,171,المرشح العراقي 171,Iraqi Candidate 171,نينوى,,الحزب الديمقراطي الكردستاني,,أنثى,,,,,,2025,,,,
,2025_172_نينوى,172,المرشح العراقي 172,Iraqi Candidate 172,نينوى,,تقدم,,ذكر,,,,,,2025,,,,
,2025_173_المثنى,173,المرشح العراقي 173,Iraqi Candidate 173,المثنى,,دولة القانون,,أنثى,,,,,,2025,,,,
,2025_174_المثنى,174,المرشح العراقي 174,Iraqi Candidate 174,المثنى,,الحكمة,,ذكر,,,,,,2025,,,,
,2025_175_الحلة,175,المرشح العراقي 175,Iraqi Candidate 175,الحلة,,حركة امتداد,,ذكر,,,,,,2025,,,,
,2025_176_المثنى,176,المرشح العراقي 176,Iraqi Candidate 176,المثنى,,العزم,,أنثى,,,,,,2025,,,,
,2025_177_المثنى,177,المرشح العراقي 177,Iraqi Candidate 177,المثنى,,النصر,,أنثى,,,,,,2025,,,,
,2025_178_نينوى,178,المرشح العراقي 178,Iraqi Candidate 178,نينوى,,الحكمة,,ذكر,,,,,,2025,,,,
,2025_179_صلاح الدين,179,المرشح العراقي 179,Iraqi Candidate 179,صلاح الدين,,الوطنية,,ذكر,,,,,,2025,,,,
,2025_180_دهوك,180,المرشح العراقي 180,Iraqi Candidate 180,دهوك,,سائرون,,ذكر,,,,,,2025,,,,
,2025_181_السليمانية,181,المرشح العراقي 181,Iraqi Candidate 181,السليمانية,,الحزب الشيوعي العراقي,,أنثى,,,,,,2025,,,,
,2025_182_دهوك,182,المرشح العراقي 182,Iraqi Candidate 182,دهوك,,سائرون,,أنثى,,,,,,2025,,,,
,2025_183_الأنبار,183,المرشح العراقي 183,Iraqi Candidate 183,الأنبار,,الحزب الشيوعي العراقي,,ذكر,,,,,,2025,,,,
,2025_184_الأنبار,184,المرشح العراقي 184,Iraqi Candidate 184,الأنبار,,العزم,,أنثى,,,,,,2025,,,,
,2025_185_السليمانية,185,المرشح العراقي 185,Iraqi Candidate 185,السليمانية,,الوطنية,,أنثى,,,,,,2025,,,,
,2025_186_السليمانية,186,المرشح العراقي 186,Iraqi Candidate 186,السليمانية,,الحكمة,,ذكر,,,,,,2025,,,,
,2025_187_البصرة,187,المرشح العراقي 187,Iraqi Candidate 187,البصرة,,الفتح,,أنثى,,,,,,2025,,,,
,2025_188_ديالى,188,المرشح العراقي 188,Iraqi Candidate 188,ديالى,,الحزب الديمقراطي الكردستاني,,ذكر,,,,,,2025,,,,
,2025_189_المثنى,189,المرشح العراقي 189,Iraqi Candidate 189,المثنى,,تحالف السيادة,,أنثى,,,,,,2025,,,,
,2025_190_نينوى,190,المرشح العراقي 190,Iraqi Candidate 190,نينوى,,تقدم,,ذكر,,,,,,2025,,,,
,2025_191_الحلة,191,المرشح العراقي 191,Iraqi Candidate 191,الحلة,,الحزب الديمقراطي الكردستاني,,ذكر,,,,,,2025,,,,
,2025_192_ذي قار,192,المرشح العراقي 192,Iraqi Candidate 192,ذي قار,,العزم,,ذكر,,,,,,2025,,,,
,2025_193_القادسية,193,المرشح العراقي 193,Iraqi Candidate 193,القادسية,,العزم,,أنثى,,,,,,2025,,,,
,2025_194_بابل,194,المرشح العراقي 194,Iraqi Candidate 194,بابل,,الحزب الشيوعي العراقي,,ذكر,,,,,,2025,,,,
,2025_195_المثنى,195,المرشح العراقي 195,Iraqi Candidate 195,المثنى,,الحكمة,,أنثى,,,,,,2025,,,,
,2025_196_السليمانية,196,المرشح العراقي 196,Iraqi Candidate 196,السليمانية,,النصر,,أنثى,,,,,,2025,,,,
,2025_197_ميسان,197,المرشح العراقي 197,Iraqi Candidate 197,ميسان,,حركة امتداد,,ذكر,,,,,,2025,,,,
,2025_198_بغداد,198,المرشح العراقي 198,Iraqi Candidate 198,بغداد,,دولة القانون,,ذكر,,,,,,2025,,,,
,2025_199_القادسية,199,المرشح العراقي 199,Iraqi Candidate 199,القادسية,,الاتحاد الوطني الكردستاني,,ذكر,,,,,,2025,,,,
,2025_200_بغداد,200,المرشح العراقي 200,Iraqi Candidate 200,بغداد,,النصر,,ذكر,,,,,,2025,,,,
